Bill,Summary,Issues
Clinch River Nuclear Breeder Reactor,"Johnston (D-LA) motion to kill the Bumpers (D-AR) - Humphrey (R-NH) amendment to the Energy & Water Development Appropriations bill to reduce by half the money for the Clinch River nuclear breeder reactor. This meant a cut of $90 million. Breeder reactors produce more nuclear fuel than they consume, but they are more expensive and much more dangerous than the light water reactors now in use. They require the production and shipping of large amounts of plutonium, one of the most poisonous substances known. Terrorists or other nations would need only a small amount of plutonium to make a nuclear bomb. The core of the breeder generates tremendous heat and is usually cooled with liquid sodium, which is itself dangerous and can explode or burn on contact with either air or water.","Dirty Energy, Toxics/Public Right to Know"
Funding for EPA and CEQ,Garn (R-UT) motion to table (kill) the Hart (D-CO) amendment to the fiscal year 1982 Continuing Appropriations. The Hart amendment would have restored funding for the Environmental Protection Agency (EPA) and the Council on Environmental Quality (CEQ) to the levels contained in the Conference Report.,Other
Mine Safety,"Byrd (D-WV) - Specter (R-PA) amendment to exempt the Mine Safety and Health Administration from the 4% funding cut in the fiscal year 1982 Continuing Appropriations Resolution. Funding cuts in the Mine Safety and Health Administration (MSHA) have proven so disastrous that the Reagan Administration is now asking that $2 million be added back in the 1982 and $15 million in 1983. Reagan changed his mind because of the public outcry after 153 miners were killed in 1981 (the highest total since 1975) and 20 were killed in January 1982 alone (compared to 9 the year before). Fewer mine inspectors have been issuing fewer violation notices, closing fewer mines for safety, and collecting less in fines. The amendment would have restored $6 million for MSHA. Environmentalists support a safe and healthy workplace environment. We cannot in good conscience continue to support deep mining as an alternative to strip mining unless we work to improve conditions in the deep mines. Rejected 38-54; December 11, 1981. YES is the pro-environment vote.",Other
Water Project Budget,"S. Con. Res. 86. The vote is on the Bellmon amendment to kill the Cohen amendment, which would have reduced the fiscal 1981 budget for water projects by $500 million. This brought before the Senate an important question of priorities. At a time when many other federal programs were being cut, shouldn't the pork barrel water projects like those above be cut back too? If adopted, the amendment would have forced the Appropriations Committee to cut back funding for the Tennessee-Tombigbee and other projects. The Carter Administration took no position on the amendment. May 7, 1980. Passed 54-40. NO was the correct vote.",Water
Pollution Control Regulations,"S. Con. Res. 86. Fiscal 1981 Budget Targets. This vote is on the Chiles amendment to prohibit agencies from publishing any new regulations that could increase costs or prices, unless these increases were offset by a reduction in other regulations elsewhere. While this may sound reasonable on the face of it, in fact it would make it extremely difficult for federal agencies to write any new regulations at all. There is no mechanism in government, nor did the amendment create any mechanism, for getting one agency to reduce or abandon its own regulations in order to oblige some other agency that needs to impose new regulations. How would the Environmental Protection Agency respond to an emergency like the widespread dumping of chemical wastes if this amendment became law? The Carter Administration opposed the Chiles amendment. May 7, 1980. Adopted 53-34. NO is the correct vote.",Other
Clean Air,"S. 2470. Coal Conversion bill. The vote is on the Johnston motion to kill the Tsongas amendment, which would have assured that utilities not increase air pollution when they shifted from oil to coal as a fuel. Coal is a much dirtier fuel than oil, and the amendment would have required the use of scrubbers or other equipment to control the extra emissions. Without these controls, a massive shift from oil to coal could result in a 25% increase in sulfur dioxides, a 33% increase in nitrogen oxides, and a 16% increase in acid rain in the Northeast, and could have erased much or all of the progress made in cleaning up the region's air since 1970. Acid rain from coal fired plants in Ohio has already wiped out fish in Adirondack lakes many hundreds of miles away, and is also suspected of hurting crop productivity. The Tsongas amendment would have allowed the shift to greater coal use without sacrificing clean air. The Carter Administration supported the motion to kill the Tsongas amendment. June 24, 1980. Passed 63-31. NO was the correct vote.",Air
Garrison Diversion,"H.R. 7542. Supplemental Appropriations. The vote is on the Johnston amendment to table and thus kill the Pressler amendment to stop any of the money from being used for any part of the Garrison Diversion project that would affect South Dakota. The Garrison project involves building a vast network of canals in North Dakota that would cause pollution and runoff in both Canada and South Dakota. It would violate U.S. - Canadian treaties and destroy almost 220,000 acres in order to irrigate another 250,000 acres of farmland that is already productive. It would also destroy many North Dakota wetlands and eight wildlife refuges used heavily by waterbirds. The Administration did not support the amendment. June 27, 1980. Passed 62-26. NO is the correct vote.","Lands/Forests, Water, Wildlife"
Alaska Lands I,"H.R. 39. This bill determined the fate of the last great wilderness in North America. The Senate Energy Committee reported a bill far weaker than the House bill, and conservationists tried to strengthen it on the Senate floor. The vote is on the Jackson amendment to table (and thus kill) the Hart-Chafee amendment, which would have protected an additional 14.5 million acres as national wildlife refuges. These areas included an expanded Arctic National Wildlife Range, which is vital habitat for Alaska's largest remaining Caribou herd, and protection of the Yukon Flats marshes, one of the most important nesting areas in North America for migratory water birds. The Carter administration supported the amendment and opposed this motion to kill it. July 22, 1980. Rejected 33-64. NO was the correct vote.","Lands/Forests, Wildlife"
Alaska Lands IV,"H.R. 39. The vote is on the Melcher amendment to the Hart-Chafee amendment, which would have turned some of the national wildlife refuges into National Forest lands instead. This would open up the land to multiple use, including mining and commercial logging, rather than managing it for wildlife. The area in question is the winter range for the Porcupine caribou herd (largest in Alaska) and thus vital to the herd's survival. The Administration opposed Melcher. July 22, 1980. Rejected 30-66. NO is the correct vote.","Lands/Forests, Wildlife"
Alaska Lands II,"H.R. 39. When they lost the above vote, opponents of the bill tried a halfway measure. This vote is on the Jackson-Hatfield substitute to the Hart-Chafee amendment described above. It would have added only 7 million acres rather than 14.5 million. Parts of the above areas were restored, but other important wildlife habitat was still excluded. The Administration opposed this substitute. July 22, 1980. Rejected 33-62. NO is the correct vote.","Lands/Forests, Wildlife"
Workplace Environment,"H.R. 3904. The vote is on the Boren amendment to exempt small businesses with lower than average illness and injury rates from routine inspections by the Occupational Safety and Health Administration (OSHA). Without inspections, there is no guarantee that good safety records will be maintained. Environmentalists and unions argued that a worker's right to a safe environment should not depend on the size of the company he works for. OSHA has been working to ease the burden on small business by eliminating its more petty requirements and concentrating on severe health hazards like toxic chemicals. But it needs the authority to make occasional inspections even of small companies as a deterrent to make sure they remain safety-conscious. The Administration opposed the Boren amendment. July 29, 1980. Passed 48-36. NO was the correct vote.",Other
Nuclear Waste,"S. 2189. The vote is on the Johnston motion to kill the Hart amendment to the Nuclear Waste Policy Act, which would have restricted the use of federal Away-From-Reactor (AFR) storage sites for spent nuclear fuel. The amendment would have limited Away-From-Reactor storage to those cases where it was absolutely necessary because the utilities no longer had any space left at their own nuclear sites. The amendment would have reduced the risk of nuclear accidents caused by the long distance transportation of dangerous nuclear wastes to a few centralized facilities. Environmentalists also viewed a broad Away-From-Reactor storage program as a subsidy to the nuclear industry, which could then wash its hands of the problem and make government responsible for paying all the costs of storing the nuclear wastes. Nor would the AFR program have significantly improved safety precautions, because the Nuclear Regulatory Commission was already overseeing the handling of nuclear wastes at private facilities. The Carter Administration sent confusing messages about the Hart amendment, with the White House saying one thing and the Department of Energy another. July 30, 1980. Amendment killed 51-44. NO was the correct vote.",Dirty Energy
Alaska Lands III,"H.R. 39. The vote is on the Byrd cloture amendment to stop a filibuster by Senator Gravel so that the Senate could vote on a compromise Alaska Lands bill. After several victories by conservationists, Senate leaders took the Energy Committee's bill off the floor to improve it and work out a compromise. But it was necessary to close off debate to allow even this compromise to pass. The Administration supported this motion. August 18, 1980. Passed 63-25. YES is the correct vote.","Lands/Forests, Wildlife"
Strip Mining III,"H.R. 1197. The vote is on the Bumpers amendment to the above bill, to require that strip mine operators re-vegetate and restore prime agricultural land and make sure it is once again productive for growing crops before they can get back their performance bonds. In the past, rich topsoil has often been destroyed and land that is important to the nation's food supply has been made worthless. Conservationists joined farmers in lobbying hard for this amendment. August 21, 1980. Passed 58-32. YES is the correct vote.","Dirty Energy, Lands/Forests"
Strip Mining II,"H.R. 1197. Because his bill failed to get through the House in 1979, Byrd brought up the same identical measure in 1980 as an amendment to an unrelated vessel tonnage bill. Once again the Administration joined conservationists in opposing this attack on the federal strip mine regulations. August 22, 1980. Passed 54-31. NO is the correct vote.",Dirty Energy
Tennessee-Tombigbee Waterway,"H.R. 7590. Energy and Water Appropriations. The vote is on the Chafee amendment to remove $200 million that was to be spent on the Tennessee-Tombigbee Waterway. This is a proposed 450 mile barge canal connecting the Tennessee and Tombigbee Rivers. It is known as the ""$3 billion ditch"" because the costs of the project keep rising and now exceed $3 billion. The environmental impacts are devastating. It would destroy over 100,000 acres of farmland, forests and wildlife habitat. The Army Corps of Engineers is trying to claim benefits for the project that do not exist, because the area already has an extensive rail system to move freight and the nearby Mississippi River is used for barge traffic. The project would involve using more earth than was used to build the Panama Canal. The Administration opposed the amendment to cut funding. September 10, 1980. Rejected 37-52. YES is the correct vote.","Lands/Forests, Water, Wildlife"
Nuclear Proliferation,"H. Con. Res. 432. The vote was on the adoption of a Resolution to overturn President Carter's decision to ship 38 tons of enriched uranium fuel to India. The fuel would be used in India's Tarapur nuclear reactors, which have reprocessing facilities and could use it to produce plutonium. India has refused to accept international safeguards for her nuclear facilities and will not allow other nations to inspect the Tarapur reactors. Nor will she sign the Nuclear Nonproliferation Treaty. The Nuclear Regulatory Commission had earlier voted 5-0 to oppose the shipment, saying that it was a violation of the Nuclear Nonproliferation Act because the grace period given earlier to India to change its policies had expired. Senator Glenn who led this effort in the Senate said that the shipment would destroy U.S. credibility in its efforts to persuade other nations to cooperate in stopping the proliferation of nuclear weapons. The Carter Administration opposed the Resolution. September 24, 1980. Rejected 46-48. YES is the correct vote.","Dirty Energy, Other"
Nuclear Power,"S. 562. Nuclear Regulatory Commission Authorizations. The vote is on the Hart-Kennedy amendment to impose a six month moratorium on the granting of any new construction permits for building nuclear power plants, starting in January 1980. The vote occurred not long after the nuclear accident at Three Mile Island showed the inadequacy of safety precautions, the Nuclear Regulatory Commission's enforcement, the lack of evacuation plans, and the whole power plant licensing process. This amendment would have given the Kemeny Commission some time to investigate the accident, and given the Administration some time to implement its recommendations when they came out, before it resumed licensing of nuclear power plants. The Administration opposed the amendment. July 17, 1979. Rejected 35-57. YES is the correct vote.",Dirty Energy
Dickey-Lincoln Dam,"H.R. 4388. The vote is on the Cohen amendment to remove funding for the Dickey-Lincoln dam in Maine, which would ruin the St. John river, the biggest wild river left in the Northeast. The area would also flood out more than 86,000 acres of valuable commercial timberland, and superb big game habitat. The project would be used to generate extra power for the peak demand for electricity in New England. But this problem could be solved more easily through peak power pricing and better energy conservation in buildings. The Corps used phony recreational benefits and artificially low interest rates to justify this project economically. The Administration did not support the amendment. July 17, 1979. Rejected 46-51. YES is the correct vote.","Lands/Forests, Water, Wildlife"
Endangered Species: Tellico Dam II,"H.R. 4388. The vote is on an earlier Culver amendment to remove House language which exempted the Tellico Dam form the Endangered Species Act and all other federal laws. The language had been slipped into the House bill with no discussion, despite the controversial nature of the issue. In addition to being economically wasteful, the Tellico Dam will drive hundreds of small farmers off their lands. A government committee set up to resolve conflicts between projects and endangered species had sided with the snail darter, because the dam had so little to recommend it. The Carter Administration supported the Culver amendment. July 17, 1979. Passed 53-45. YES is the correct vote.","Lands/Forests, Water, Wildlife"
Pollution Regulations,"S. 1477. The vote is on the Culver motion to kill the Bumpers amendment, which would have reversed the normal legal presumption in the courts that federal regulations are valid. This would have shifted the burden of proof from the polluter to the regulatory agency. History has shown that regulations to control pollution and toxic substances are extremely difficult to enforce, and this amendment would have made enforcement even more difficult. The Carter Administration opposed the Bumpers amendment and supported the Culver motion to table it. September 7, 1979. Rejected 27-51. YES is the correct vote.",Air
Endangered Species: Tellico Dam I,"H.R. 4388. Energy and Water Appropriations. The vote is on the Johnston motion to accept the House language which exempted the Tellico Dam project in Tennessee from the Endangered Species Act and from all other federal laws. This was the last in a series of battles to save the Little Tennessee River valley from being flooded by the Tellico Dam, which a General Accounting Office study had said was economically wasteful because its costs were greater than its benefits. The dam had been stopped in the courts because it destroyed the only remaining habitat of an endangered species, the snail darter. The Administration opposed the exemption, but President Carter did sign the bill. September 10, 1979. Passed 48-44. NO was the correct vote.","Lands/Forests, Water, Wildlife"
Strip Mining I,"S. 1403. This vote is on final passage of Senator Byrd's bill to gut the national strip mine Act. The bill would have delayed protections on federal lands and compliance deadlines under the 1977 Act. But by far the most damaging provision would have exempted state governments from having to obey the tough regulations written by the Office of Surface Mining. Instead the state programs need only conform to the law itself. This would have made it difficult if not impossible to get uniform, timely enforcement of the law. The federal regulations have already been tested in court, and won. Under this amendment each of the 24 state programs would have to be challenged in a different court within that state, perhaps with different results. Historically the enforcement of state strip mining laws has been very weak, and without a strong federal role the state programs set up under this bill would also be weak. The Carter Administration opposed the bill. September 11, 1979. Passed 68-26. NO is the correct vote.",Dirty Energy
Acre Limitations,"S. 14. The bill raises the limits in the 1902 Reclamation Act, which says that federally subsidized irrigation water can be provided only to small farmers. The limits were raised from 160 to 1280 acres. The vote is on the Hatfield motion to kill the Cranston amendment, which would have allowed big agribusiness corporations to lease unlimited amounts of water and still enjoy subsidies for their first 1,280 acres, provided they pay full cost for any extra water. This would legitimize the widespread abuse of the Reclamation Act, which was originally intended to help family farmers. Many environmentalists would like to help small farmers compete with agribusiness, believing that resident farmers have more respect for their land. Agribusiness companies are now using cheap federal water to grow rice and other water-intensive crops in semi-arid regions of the West, when these crops could be grown more easily in the East, Midwest and South without wasting so much water and without creating political pressure to build more dams. The Carter Administration opposed the Cranston amendment and supported this motion to kill it. September 14, 1979. Passed 42-33. YES is the correct vote.",Water
Energy Conservation II,"S. 1398. The vote is on final passage of the Industrial Energy Efficiency Act, to encourage industries to purchase more energy-efficient equipment, and to require mandatory energy efficiency standards if these voluntary measures failed. Industrial motors and pumps consume about 15% of all electricity in the U.S. and for the past 15 years there has been a general decline in their efficiency. But much more efficient pumps and motors are now available on the market, which could save us about 189,000 barrels of oil a day by 1985 -- roughly the output of seven nuclear power plants. The Carter Administration did not lobby on the bill. September 28, 1979. Passed 43-39. YES is the correct vote.",Clean Energy
Energy Mobilization Board I,"S. 1308. The vote is on the Johnston motion to table the Muskie-Ribicoff substitute to limit the powers of the Energy Mobilization Board (EMB). The bill reported by the Senate Energy Committee gave this board the power to exempt big energy projects from future environmental laws, and to take over the decision-making powers of state, local and federal agencies if they did not meet the EMB deadlines for deciding whether to give a permit to an energy project. The Muskie-Ribicoff substitute would have sped up decision making without giving the Board such sweeping powers, and directed EMB to use the courts to enforce its deadlines for decisions. Conservationists lobbied hard against giving a few presidential appointees the power to ride roughshod over health and environmental laws they had fought for decades to put in place. The Carter Administration supported the motion to kill the Muskie-Ribicoff amendment. October 3, 1979. Tabled 58-39. NO is the correct vote.",Other
Energy Mobilization Board III,"S. 1308. The vote is on the Muskie amendment to remove the Energy Mobilization Board's authority to take over the decision making powers of local, state or federal agencies that missed their deadlines. State and local governments joined with conservationists in supporting the Muskie amendment and fighting against giving the federal government the power to preempt state and local decisions. The Carter Administration opposed the Muskie amendment. October 3, 1979. Rejected 34-60. YES is the correct vote.",Other
Energy Mobilization Board II,"S. 1308. The vote is on the Huddleston amendment to expand the power of the Energy Mobilization Board still further and authorize the President, on the Board's recommendation, to waive any existing federal law that he believed was delaying construction of a priority energy project. This would mean that a President like Ronald Reagan could in effect abolish whatever environmental laws he didn't like, without having to go through Congress. The Carter Administration opposed the Huddleston amendment. October 3, 1979. Rejected 37-56. No is the correct vote.",Other
Synthetic Fuels II,"H.R. 4930. The vote is on whether Senator Byrd's amendment to set up an Energy Security Reserve and give it $20 billion to spend on synthetic fuels development was germane and could be added to an Appropriations bill. This kind of crash program to develop synthetic fuels would be environmentally devastating. It would require huge amounts of scarce Western water and could end up leaching toxic substances into groundwater. It also means extensive strip mining, and would put more carbon dioxide into the global atmosphere than would comparable amounts of other fossil fuels, thus possibly altering the earth's climate. The fuels would not be commercially available for ten years and would cost at least $38 a barrel. The Carter Administration supported this program. October 15, 1979. Ruled germane 56-34. NO is the correct vote.",Dirty Energy
Synthetic Fuels I,"S. 932. The vote is on the Proxmire amendment to substitute the Banking Committee's bill for the one reported by the Senate Energy Committee. The Proxmire substitute had a much more modest program for synthetic fossil fuels, costing only $3 to $9 billion instead of $20 billion. Instead, it shifted more money to energy conservation and renewable energy sources, providing over $1 billion for a solar bank to make subsidized loans for home heating, $6 billion for a similar bank to promote energy conservation, and over $4 billion for loan guarantees and grants to encourage the development of alcohol fuels from agricultural products. These amounts were far more generous than those in the Energy Committee version, which gave only peanuts to alternative sources and $20 billion for synthetic fuels from coal. The renewable energy sources in Proxmire's substitute are both cheaper and better for the environment than synthetic fuels from coal. The Administration opposed the Proxmire amendment. November 7, 1979. Rejected 37-57. YES is the correct vote.","Clean Energy, Dirty Energy"
Energy Conservation I,"S. 932. Defense Production Act. The vote is on the Johnston motion to kill the Javits amendment, which would have expanded the energy conservation loan program for buildings. The bill as written limited this program to landlords of buildings with four or fewer units, while the amendment made it available to other landlords too. Well over 50% of all renters are in multi-family dwellings, and it is here than the need for conservation is greatest. Many low income housing units have almost no insulation at all. Studies indicate that we could save the equivalent of at least 3 million barrels of oil a day through a comprehensive program to insulate and conserve energy in buildings. By broadening this program, the amendment would have shifted some of the money in the bill away from subsidies for synthetic fuels development and toward energy conservation, our cheapest and safest energy source. The Carter Administration opposed the Javits amendment and supported this motion to kill it. November 8, 1979. Passed 45-39. NO was the correct vote.",Clean Energy
River of No Return,"S. 2009. This bill set aside as wilderness 2.3 million acres in the Salmon River watershed in central Idaho, a scenic and forested area rich in wildlife. The vote is on the McClure amendment which designated all other National Forest lands in central Idaho as permanent non-wilderness. This would make them off limits for any future wilderness consideration. Environmentalists felt this set a bad precedent for similar legislation in other areas, thus preempting multiple use planning and management by the Forest Service. The Carter Administration opposed the McClure amendment. November 20, 1979. Rejected 21-67. NO is the correct vote.",Lands/Forests
Windfall Profits Tax,"H.R. 3919. The vote is on the Bradley-Chafee amendment to increase the tax rate on oil discovered between 1973 and 1978 from 60% to 75%. This would have increased the windfall profits tax paid by the oil companies by about $22 billion. The money would have been used to ease the burden on poor people who were hardest hit by the decontrol of energy prices, and for energy conservation and the development of new energy sources. The oil companies tried to argue that their taxes should be kept low because increased profits gave them increased motivation to explore and develop new sources of oil. But this tax was on oil already discovered and developed, where profits reaped from decontrol would not result in any additional output. The Administration supported the amendment. December 4, 1979. Passed 58-35. YES is the correct vote.","Clean Energy, Dirty Energy"
Redwood Park Expansion II,"(S 1976). The vote is on the Harakawa amendment to give jurisdiction over compensation for parkland acquisition to the U.S. Court of Claims rather than the federal courts as provided in the bill . The effect of this amendment would be to increase payments to the timber companies for their land, since the U.S. Court of Claims has a poor record on compensation issues and the federal district courts are better able to determine a fair price. Environmentalists opposed the amendment, fearing that parkland acquisition became too costly there would be less money available to purchase other valuable parkland elsewhere. The Administration also opposed the amendment. Rejected 36-57; January 31, 1978. No is the correct vote.",Lands/Forests
Redwood Park Expansion I,"(S 1976). The vote is on the Havakawa amendment to delete from the bill provisions entitling the Secretary of Interior to take over some or all of a 30,000 acre designated zone bordering Redwood National Park, if that becomes necessary to protect the park. The original Redwood Park had been threatened by logging operations outside the park that caused soil erosion and flooding downstream within the park. The Committee bill provided this park protection zone to guard against such problems in the future. Environmentalists supported the Committee bill and opposed the amendment. So did the President. Rejected 28-65; January 31, 1978. No is the correct vote.",Lands/Forests
Water Subsidies,"(HR 8309). The vote is on the Cranston amendment to nullify the Gravel amendment, which would have exempted the Kings River water users In California from the 160 acre limitation imposed on them by law. Environmentalists supported Cranston's effort to enforce the 1902 Federal Reclamation Act which said that federally-subsidized irrigation water could be provided only to small farmers. If this measure were strictly and vigorously enforced. It would break up the powerful agribusiness interests that are now growing rice and other water-intensive crops in semi-arid regions of the West. This would in turn reduce the political and economic pressure for more Bureau of Reclamation projects. Many of the California crops could be grown more easily in the South and East without irrigation and thus without the need for new dams. But eastern farmers can't compete and western farmers get federal water at ridiculously low prices. Pressure to enforce the 160 acre limit will probably drive up water prices and thus encourage water conservation. Many environmentalists would also like to help the small farmer compete successfully with agribusiness, believing that small resident farmers will have more respect for their land. Adopted 52-37; May 2, 1978. Yes is the correct vote.","Water, Lands/Forests"
Mass Transit,"Transportation Appropriations (HR 12933). The vote is on the Lugar amendment to reduce the appropriation for the Urban Mass Transit Administration by $170 million. Environmentalists favor full funding, to encourage the use of mass transit instead of the private automobile. The use of bus and rail transit for commuting reduces air pollution and promotes energy conservation. The Administration opposed the amendment. Rejected 26-44; June 23, 1978. No is the correct vote.",Transportation
Endangered Species Act,"(S 2899). The original Act prohibited any federal project from destroying the last remaining habitat of an endangered species. The vote is on the Stennis amendment to exempt from the Act any federal projects that was begun before the Act passed In 1973, or was now more than 50% complete. The amendment also gave the heads of federal agencies the authority to exempt their own projects. Environmentalists charged that this was like ""putting the fox in charge of the hen house"" and considered Stennis the key weakening amendment to the bill. They would have preferred to see no changes in the Act at all, but accepted the Culver-Baker Committee bill as offering a fair amount of protection for endangered species. The extinction of species has accelerated from one every 100 years in 1600, to one to twenty species lost each year in the 1970s. The Administration opposed the Stennis amendment. Rejected 22-76. July 18, 1978. No is the correct vote.",Wildlife
Endangered Species,"(S 2899). The bill created a seven member Cabinet-level Commission to deal with conflicts between endangered species and projects. An agency with a project in conflict could present its case to this Commission and ask for an exemption. The vote is on the Scott amendment to allow four of the seven members to vote for an exemption from the law, instead of five as provided in the Culver-Baker bill. The Commission was composed of the Secretaries of the Army, Interior, and Agriculture, the Chairman of the Council on Environmental Quality, the Administrators of the Environmental Protection Agency and the National Oceanic and Atmospheric Administration, and the Governor of the state in which the project was located. Given the differing views of these agencies, it would have been far more difficult to get five votes for an exemption than to get four. Environmentalists and the Administration opposed the Scott amendment. Rejected 23-69. July 19, 1978. No is the correct vote.",Wildlife
National Environmental Policy Act Exemption,"Department of the Interior Appropriations (HR 12932). The vote is on the Curtis motion to prevent reconsideration of a vote to exempt water projects in the Colorado River Basin from having to prepare a comprehensive Environmental Impact Statement as required by the National Environmental Policy Act (NEPA). Western Senators were afraid that the pending NEPA lawsuit would halt construction of some of their pet water projects, which had been evaluated individually, but not collectively with regard to their cumulative impacts. Consideration of these cumulative impacts is badly needed because of increasingly serious salinity problems, the cumulative loss of critical fish and wildlife habitat, and because there is not enough water In the Colorado River Basin to meet the demands of all the projects and uses that are already authorized. The Carter Administration favored a strict application of NEPA and opposed Curtis motion to table. Agreed to 59-33; August 8, 1978. No is the correct vote.","Water, Other"
Coal Roads,"Federal-Aid Highway Act of 1978 (S 3073). The vote is on the Huddleston amendment to authorize an additional $100 million for both fiscal 1979 and 1980, from the Highway Trust Fund, for the rehabilitation of roads damaged by the transportation of ""energy resources"". This funding would be in addition to that already in the highway bill. The amendment would apply mainly to roads used for hauling coal, to repair damages caused by overweight trucks. Thus it was an indirect subsidy to the coal and trucking companies. It is usually more energy-efficient to haul the coal by rail. The Administration opposed the amendment. Rejected 37-51; August 21, 1978. No is the correct vote.","Dirty Energy, Transportation"
Strip Mining II,"(S. 7). The vote is on the Johnston amendment to permit states to retain exclusive jurisdiction over strip mining regulations, if the Secretary of Interior determined that the state's environmental standards were at least as strict as the federal standards. Environmentalists saw this amendment as a way for the states to avoid federal oversight. Past history suggests that once states were granted exclusive jurisdiction, they might be very lax in enforcing their own regulations. Strip mine enforcement in most states has been very weak. Environmentalists opposed this amendment and supported the attempt in S. 7 as written to establish uniform strip mine reclamation standards nationwide. The Administration also opposed the amendment. Rejected 39-51; May 19, 1977. No is the correct vote.",Dirty Energy
Strip Mining I,"Surface Mining and Reclamation Act (S 7). The vote is on the Hart amendment to ban all strip mining of western alluvial valley floors, unless mining operations had been approved prior to January 4, 1977. This would have plugged a loophole in the bill, which exempted mines which had undergone ""substantial and legal commitments to begin mining."" Alluvial valley floors are the most productive agricultural and cattle raising lands in the West, because they have naturally sub-irrigated and flood irrigated hay meadows. Strip mining here would further deplete scarce western water resources. An EPA study showed that less than 3% of the region's coal lay under alluvial valley floors, and hence environmentalists believe that agriculture should be given greater priority here. The Administration also supported the Hart amendment. Rejected 37-45: May 20, 1977. Yes is the correct vote.","Dirty Energy, Lands/Forests, Water"
Strip Mining IV,"(S. 7). The vote is on the Danforth amendment to weaken strip mine reclamation requirements in mountainous areas. The Committee bill required that the land be restored to its ""approximate original contour."" The Danforth amendment gutted this provision and required only that strip mine operators obey federal pollution, health and safety laws, and restore the land sufficiently to meet local land use requirements. Yet state and local land use laws are often very weak, or don't exist at all. This amendment would have allowed strip miners to leave highwalls in some areas because localities claimed they were planning to use the broad ledges underneath them for parking lots. The Administration and the environmentalists opposed the amendment. Rejected 35-46; May 20, 1977. No is the correct vote.","Dirty Energy, Lands/Forests"
Strip Mining III,"(S. 7). The vote is on the Bumpers amendment to delete from the bill a requirement that surface owners must give their written consent before federally owned coal could be mined beneath their land, and to set compensation for damages to surface owners. In the past, the federal government opened up these western lands for homesteading, while retaining rights to the coal underneath. Yet the farmers and ranchers who settled here little dreamed that someday their land might be ruined. The amendment would have protected their rights and probably prevented strip mining in some areas. A National Academy of Science study concluded that most western states did not have enough water to support large scale coal development and that some areas would be impossible to reclaim for agriculture because strip mining would destroy the soil and the aquifers. The environmentalists and the President opposed the amendment. Adopted 44-32; May 20, 1977. No is the correct vote.","Dirty Energy, Lands/Forests"
Flood Plain Development,"Flood Insurance Amendments (S. 1523). The vote is on the Eagleton amendment to once again allow federally-insured banks to make loans for building on flood hazard areas that refused to participate in the federal flood insurance program. The program was designed to discourage irresponsible new floodplain development. It required local communities to map their floodplains, zone against new construction in the most flood prone areas, and adopt other safety measures. The government's main sanction for implementing this program was the restriction on loans that this amendment removes. Without it environmentalists feared that communities would drop out of the program, seek federally-insured financing for new construction and then yell for disaster relief when the floods hit . The amendment prohibited giving relief under such circumstances, but it is neither humane nor politically realistic to expect the government to deny relief to disaster victims. Environmentalists opposed the Eagleton amendment because it encourages floodplain development that paves over the richest farmland, increases flood damage, and creates pressure to build more dams. Adopted 49-36; June 7, 1977. No is the correct vote.","Water, Lands/Forests"
Clean Air Amendments I,"(S 252A). The vote is on the Griffin amendment to delete provisions requiring that the Nitrogen Oxide Standards for auto emissions be reduced to .4 gram per mile by 1983. Instead cars would be allowed to emit up to 1 gram of NOx per mile. Griffin's amendments gutted Senator Hart's amendment, which would have penalized cars that emitted more than .4 grams per mile and rewarded purchasers with rebates if their cars achieved better than the Act's standards for all three pollutants (carbon monoxide, hydrocarbons and nitrogen oxides). Griffin removed these provisions, leaving only a study on the health impact and feasibility of the .4 NOx standard. Environmentalists opposed the Griffin amendment because NOx is already known to be a major source of lung and respiratory disease. The Carter Administration had endorsed the original Committee bill which contained the weaker NOx standard, but did not lobby specifically on the Griffin or Hart amendments. Adopted 51-43. June 8, 1977. No is the correct vote.",Air
Clean Air Amendments III,"(S 252). The vote is on the Stevens amendment to allow state Governors to permit Class I and Class II areas to exceed allowable pollution levels for 18 days a year. This amendment would gut that portion of the Clean Air Act which protects areas with pristine air from Òsignificant deteriorationÓ in air quality. Class I areas are national park and wilderness areas over 5,000 acres; Class II areas include all other areas not violating federal ambient air standards for sulphur dioxide and particulates. Exempting the 18 days of peak pollution would significantly lower air quality. The amendment would allow construction of giant power plants and manufacturing complexes near National Parks. For example, the Inter-Mountain Power Project could have built a 300,000 megawatt coal fired power plant 9 miles from Capitol Reef National Park in Utah under this amendment. Its defeat was a major victory for environmentalists. The Carter Administration opposed the amendment. Rejected 33-61; June 9, 1977. No is the correct vote.","Air, Lands/Forests"
Clean Air Amendments II,"(S 252) The vote is on the Baker substitute to the Riegle-Griffin amendment. The Riegle-Griffin amendment would have substantially weakened protection against auto emissions by delaying the 1 gram per mile NOx standard for two years (from 1980 to 1982) and the hydrocarbon and carbon monoxide standards for one year (from 1979 to 1980). Baker's compromise retained the committee's earlier 1 gram NOx standard but accepted the one year delay for HC and CO. It allowed some 1980 and 1981 cars to emit up to 2 grams of NOx if they had innovative engine and emission systems not using precious metals and if they could meet other emission standards. All cars would have to comply with the standards by 1982. Environmentalists supported Baker's amendment. Considering the enormous pressure exerted by the auto industry, the vote in favor of Baker was considered a coup for clean air. The Administration supported the committee bill and opposed the Riegle-Griffin amendment. Adopted 56-38. June 9, 1977. Yes is the correct vote.",Air
