Bill,Summary,Issues
Toxic Air Pollution from Power Plants,"Senate Environment and Public Works Committee Ranking Member James Inhofe (R-OK) sponsored S.J. Res. 37, a Congressional Review Act (CRA) resolution of disapproval, which would void the Mercury and Air Toxics Standard for power plants, thus threatening the lives and health of thousands of Americans. Mandated by the Clean Air Act Amendments of 1990, the Mercury and Air Toxics Standard is a long overdue public health safeguard that, for the first time, sets national limits on harmful air toxins that are emitted from oil- and coal-burning power plants, including mercury, acid gases, lead, and arsenic. Power plants are the single largest U.S. source of mercury pollution, which is especially dangerous to children and expectant mothers. Once fully implemented in 2016, the Mercury and Air Toxics Standard would prevent up to 11,000 premature deaths, thousands of heart attacks, and over 100,000 asthma attacks each year. The CRA resolution is a radical legislative tool that would undo these protections and prohibit the Environmental Protection Agency from ever taking similar steps in the future to protect communities from this harmful power plant pollution. On June 20, the Senate rejected the Inhofe CRA resolution by a vote of 46-53 (Senate roll call vote 139). NO IS THE PRO-ENVIRONMENT VOTE.",Air
Conservation on Private Farmlands,"Senator Mike Lee (R-UT) offered an amendment to S. 3240, the Senate farm bill titled the Agriculture Reform, Food, and Jobs Act of 2012, which would repeal the Conservation Stewardship Program and the Conservation Reserve Program. Together, these two programs reward agricultural producers who help conserve critical natural resources on more than 75 million acres of farm and ranch land in the United States. These programs not only are very popular with farmers, but also have a proven track record of providing valuable taxpayer benefits by improving soil, water, and wildlife habitat. On June 20, the Senate rejected the Lee amendment by a vote of 15-84 (Senate roll call vote 148). NO IS THE PROENVIRONMENT VOTE.","Lands/Forests, Water"
Conservation Compliance,"Senator Saxby Chambliss (R-GA) offered an amendment to S. 3240, the Senate Farm Bill titled the Agriculture Reform, Food, and Jobs Act of 2012, which would reattach basic soil and water conservation measures to premium subsidies for crop insurance, restoring longstanding requirements that those who receive subsidies take some minimal steps to protect the public good. The amendment would save an estimated $60 million, ensure all farmers have a level playing field with regard to eligibility requirements for subsidies, and help ensure long-term farm productivity by protecting vital natural resources. It would also ensure that taxpayer funds do not subsidize damaging soil erosion that chokes our waterways, increases the cost of water treatment and dredging, and reduces the long-term productivity of farmland. Without the Chambliss amendment, this Farm Bill would allow for the destruction of tens of thousands of acres of valuable wetlands, resulting in increased downstream flooding, loss of wildlife habitat, and decreased water quality. On June 20, the Senate approved the Chambliss amendment by a vote of 52-47 (Senate roll call vote 155). YES IS THE PRO-ENVIRONMENT VOTE. On January 2, 2013, President Obama signed into law a broader legislative package averting the year-end ""fiscal cliff"" that included an extension of the 2008 Farm Bill through September 30, 2013; however, the Chambliss amendment was not part of the extension.","Lands/Forests, Water"
Industrial Farm Clean Water Violations,"Senator Mike Johanns (R-NE) offered an amendment to S. 3240, the Senate Farm Bill titled the Agriculture Reform, Food, and Jobs Act of 2012, that would prevent the Environmental Protection Agency (EPA) from efficiently and effectively monitoring for Clean Water Act violations at industrial-scale livestock operations via aircraft. This tool is primarily used to observe large animal feeding operations, where manure spills into water bodies are easily identifiable from the air. These flyover inspections are conducted in small planes and have been done for nearly a decade as a cost-effective alternative to on-site inspections, and Congress does not restrict how the EPA monitors any other industries. The EPA has a responsibility under the law to monitor for this kind of pollution and should not be prohibited from doing so through a reliable means that saves significant taxpayer dollars. On June 21, the Senate rejected the Johanns amendment by a vote of 56-43 (60 votes were needed for passage; Senate roll call vote 159). NO IS THE PRO-ENVIRONMENT VOTE.",Water
Military Investments in Alternative Fuels,"Senator Mark Udall (D-CO) offered an amendment to S. 3254, the National Defense Authorization Act for Fiscal Year 2013, which would restore the military's ability to invest in alternative fuels. Shifting from fossil fuels to alternatives like advanced biofuels reduces the military's carbon footprint and reduces pollution, while giving the military more fuel options and loosening its dependence on foreign oil. Investing in advanced biofuels could also enhance national and economic security by keeping military energy spending down and reducing exposure to oil price shocks. On November 28, the Senate approved the Udall amendment by a vote of 62-37 (Senate roll call vote 206). YES IS THE PRO-ENVIRONMENT VOTE. On January 2, 2013, President Obama signed the final defense authorization bill, H.R. 4310 into law, which thankfully retained the Udall amendment.",Clean Energy
Sweeping Environmental Funding and Policy Assault,"H.R. 1, the Full-Year Continuing Appropriations Act of 2011, which at the time it passed the House was the greatest legislative assault ever on the environment and public health, including massive funding cuts and policy assaults on our air, water, wildlife and wild places. On February 19, the House passed H.R. 1 (House roll call vote 147).  On March 9, the Senate rejected H.R. 1 by a vote of 44-56 (Senate roll call vote 36).  NO IS THE PRO-ENVIRONMENT VOTE.  The Obama administration and Senate leadership subsequently stood strong in negotiations with the House and insisted that most--but not all--of the anti-environmental riders from H.R. 1 be dropped before agreeing to the final compromise bill, H.R. 1473, which the president signed into law on April 15.","Air, Clean Energy, Climate Change, Water, Wildlife"
Global Warming Pollution,"Senate Minority Leader Mitch McConnell (R-KY) offered an amendment to S. 493, small business reauthorization legislation officially titled the SBIR/STTR Reauthorization Act of 2011, to repeal the scientific finding by the EPA that greenhouse gases endanger human health and the environment, to permanently block the EPA from reducing greenhouse gases under the Clean Air Act, and to undermine fuel economy standards.  This radical amendment would jeopardize public health and the environment, and increase our dangerous dependence on oil.  On April 6, the Senate rejected three other anti-environmental amendments--sponsored by Senators Jay Rockefeller (D-WV), Debbie Stabenow (D-MI), and Max Baucus (D-MT)--to weaken or delay the EPA's ability to regulate greenhouse gases under the Clean Air Act and then proceeded to reject the McConnell amendment by a vote of 50-50 (Senate roll call vote 54).  NO IS THE PRO-ENVIRONMENT VOTE.  On April 7, the House passed H.R. 910, which is identical to the McConnell amendment (House roll call vote 249).  At the end of 2011, the EPA's ability to reduce greenhouse gases under the Clean Air Act remained firmly intact.",Climate Change
Oil Subsidies,"Senator Robert Menendez (D-NJ) sponsored S. 940, the Close Big Oil Tax Loopholes Act, which would close tax loopholes for oil companies, since their outsized profits make it clear that they do not need taxpayer handouts. At a time when our fiscal situation is prompting cuts to critical programs, including environmental and clean energy investments, our government should not be subsidizing massive oil companies that reported profits of nearly $1 trillion during the past decade. On May 17, the Senate failed to achieve the 60-vote threshold needed to pass a motion to proceed to the consideration of S. 940. The motion failed on a 52-48 vote (Senate roll call vote 72). YES IS THE PRO-ENVIRONMENT VOTE.","Dirty Energy, Drilling"
Offshore Drilling,"Senate Minority Leader Mitch McConnell (R-KY) introduced S. 953, the deceptively titled Offshore Production and Safety Act of 2011, which would expand offshore drilling and make it more dangerous by enacting oversight standards that are weaker than those in place before the catastrophic 2010 BP Deepwater Horizon oil spill disaster in the Gulf of Mexico, which tragically killed eleven workers, wreaked havoc on Gulf coast businesses in the fishing and tourism industries, and damaged coastal and marine ecosystems.  The bill would mandate numerous lease sales in the Gulf of Mexico and off Virginia's beaches, requiring the government to use outdated and inadequate environmental reviews in the processing of new leases, even though the reviews do not consider the impacts of a worst-case scenario like the BP Deepwater Horizon oil spill.  The bill would also impose a rushed and arbitrary time period of just 30 days for the Interior Secretary to approve or deny drilling permits, and it would grant automatic approval if no action is taken within 60 days.  On May 18, the Senate rejected a motion to proceed to the consideration of S. 953 by a vote of 42-57 (Senate roll call vote 73).  NO IS THE PRO-ENVIRONMENT VOTE.","Dirty Energy, Drilling"
Regulatory Rollbacks,"Senator Olympia Snowe (R-ME) offered this amendment to S. 782, the Economic Development Revitalization Act of 2011, which would have severely undermined the regulatory process.  This amendment would create several unnecessary new processes to complicate economic analyses of proposed rules and to ensure interagency consultation that is already conducted by the Office of Management and Budget.  It would also require a lengthy periodic review process for rules at select agencies, including the EPA, and impose mandatory budget cuts if reviews are not conducted or are incomplete.  Furthermore, this biased review process would look at rules' costs but not their benefits--including the environmental, health, food safety and other important benefits--which numerous third party analyses have found far outweigh their costs.  On June 9, the Senate--in a 53-46 vote--failed to achieve the 60-vote threshold needed to pass the Snowe amendment (Senate roll call vote 87).  NO IS THE PRO-ENVIRONMENT VOTE.  The House passed several bills that would severely undermine the regulatory process and jeopardize vital public protections (House roll call votes 880, 888, and 901); however, no such proposals have made it to the President's desk.",Other
Ending Ethanol Subsidies,"Senators Dianne Feinstein (D-CA) and Tom Coburn (R-OK) sponsored this amendment to S. 782, the Economic Development Revitalization Act of 2011, to repeal wasteful incentives for the ethanol industry, including a tax subsidy for oil companies that blend ethanol into conventional gasoline and an ethanol import tariff. Conventional corn ethanol has far-reaching negative environmental impacts, including water pollution, global warming pollution, and habitat destruction, and is already mandated by the Renewable Fuel Standard. On June 16, the Senate adopted the Feinstein-Coburn amendment by a vote of 73-27 (Senate roll call vote 90). YES IS THE PRO-ENVIRONMENT VOTE. The ethanol tax subsidy and import tariff expired at the end of 2011 and were not renewed by Congress.",Dirty Energy
Gutting Transportation Enhancements,"Senator Rand Paul (R-KY) offered this amendment to H.R. 2112, the FY12 Appropriations bill for the Departments of Agriculture, Commerce, Justice, Transportation, and Housing and Urban Development, to defund the Transportation Enhancements program.  This proven program has been the largest source of federal funding for trails, walking, and biking for 20 years, and amounts to less than 2% of overall spending on surface transportation.  Transportation currently accounts for more than two-thirds of our nation's annual oil use and roughly one-third of our global warming emissions, and this small program is critical for giving people access to cleaner transportation choices.  On November 1, the Senate rejected the Paul amendment 38-60 (Senate roll call vote 190).  NO IS THE PRO-ENVIRONMENT VOTE.",Transportation
Broad Environmental Assault (S.1786),"Senate Finance Committee Ranking Member Orrin Hatch (R-UT) sponsored S. 1786, the Long-Term Surface Transportation Extension Act of 2011, which is a sweeping and extreme assault on our government's ability to protect the public from a wide range of threats, ranging from pollution to workplace safety.  While framed as a transportation bill, this legislation actually includes S. 299, the REINS Act--a radical assault on our system of public protections--as well as a host of provisions undermining specific bedrock public health and environmental laws, including the Clean Air Act and the National Environmental Policy Act.  The bill would stop the EPA from cleaning up harmful pollution such as mercury, soot, smog, arsenic, lead, and carbon dioxide from some of our nation's biggest polluters, including power plants, cement plants, and industrial boilers and incinerators.  On November 2, the Senate rejected a motion to proceed to the consideration of S. 1786 by a vote of 47-53 (Senate roll call vote 196).  NO IS THE PRO-ENVIRONMENT VOTE.  The House has passed numerous pieces of legislation that are part of S. 1786, including H.R. 10--the House version of the REINS Act--on December 7 (House roll call vote 901).","Air, Climate Change, Other"
Cross-State Air Pollution,"Senator Rand Paul (R-KY) sponsored S.J. Res. 27, a Congressional Review Act resolution of disapproval to void the Cross-State Air Pollution rule, which will save lives and improve public health for millions of Americans. The Cross-State rule, which was finalized in July 2011, reduces dangerous smog and soot-forming pollution that is emitted from power plants and travels across state lines, and is estimated to save up to 34,000 lives and to prevent 400,000 asthma attacks, 15,000 heart attacks, and 1.8 million missed days at school or work each year, among other health benefits. On November 10, the Senate rejected S.J. Res 27 by a vote of 41-56 (Senate roll call vote 201). NO IS THE PRO-ENVIRONMENT VOTE. The House had previously passed legislation on September 23 to block the Cross-State rule as part of the TRAIN Act (House roll call vote 741). There were no further legislative attempts to block the Cross-State rule in 2011, but the D.C. Circuit Court temporarily stayed the Cross-State rule on December 30.",Air
Broad Environmental Assault (S. 1720),"Senate Armed Services Committee Ranking Member John McCain (R-AZ) sponsored S. 1720, the so-called Jobs Through Growth Act, an extreme assault on our government's ability to protect the environment and public health.  While framed as a jobs bill, this legislation would prevent the EPA from cleaning up harmful pollution from some of the nation's biggest polluters, reduce oversight for drilling, open our precious public lands to harmful tar sands development by private companies, and prohibit California from ensuring that enough water is allocated to protect salmon and Delta smelt.  On November 10, the Senate rejected S. 1720 by a vote of 40-56 (Senate roll call vote 202).  NO IS THE PRO-ENVIRONMENT VOTE.","Air, Dirty Energy, Drilling, Water, Wildlife"
Undermining Critical Environmental Programs,"Senate Finance Committee Ranking Member Orrin Hatch (R-UT) introduced S.J. Res. 10, legislation to amend the Constitution to require a balanced budget every year, and to limit spending to 18% of U.S. gross domestic product.  This legislation's draconian spending cap would undercut the federal government's abilities to meet its core commitments, including protecting our air, water, wildlife, and lands.  Independent economic analysts projected catastrophic consequences if a balanced budget amendment were already in place for FY12.  On December 14, the Senate rejected this resolution by a vote of 47-53 (Senate roll call vote 229).  NO IS THE PRO-ENVIRONMENT VOTE.  The House voted on a series of balanced budget amendments; however, no such proposals made it to the President's desk.",Other
Border Fence Construction,"Nearly one-third of the 1,950 mile United States-Mexico border lies within military, tribal, and public lands, including wilderness areas, national wildlife refuges, national parks, national forests, national monuments, and state parks. Much of this country's most magnificent and imperiled wildlife -- including jaguars, ocelot, bighorn sheep, Sonoran pronghorn, and hundreds of bird species -- depend upon these public lands for intact habitat. Local communities also rely on access to protected natural areas for clean water, recreation, economic development, and high quality of life.","Wildlife, Lands/Forests"
Lead Paint Protections,"Exposure to lead is linked to a range of human health impacts, from behavioral problems and learning disabilities to seizures and death. Children under the age of six are most at risk. To improve public health, the EPA now requires that firms performing renovation, repair, and painting projects that disturb lead-based paint in pre-1978 homes, child care facilities, and schools be certified to do so by the EPA. They also must use certified renovators who are trained by EPA-approved training providers to follow lead-safe work practices. Individuals can become certified renovators by taking an eight-hour training course. The rule mandating this requirement was published on April 22, 2008, and became effective on April 22, 2010.",Toxics/Public Right to Know
Dirty Air Act,"Global warming is the central environmental challenge of our time. In 2007 in Massachusetts v. EPA, the Supreme Court ruled that global warming pollutants were covered by the Clean Air Act and directed the EPA to determine whether the continued emission of such pollutants endangered the country's public health and welfare. In December 2009, the EPA issued this ""endangerment finding,"" concluding that, based on the best science, global warming pollution presents a clear threat to public health and welfare. The endangerment finding was the scientific determination necessary to allow the agency to start limiting global warming pollution under the Clean Air Act.","Climate Change, Air"
Dirty Air Act (2x Score),"Global warming is the central environmental challenge of our time. In 2007 in Massachusetts v. EPA, the Supreme Court ruled that global warming pollutants were covered by the Clean Air Act and directed the EPA to determine whether the continued emission of such pollutants endangered the country's public health and welfare. In December 2009, the EPA issued this ""endangerment finding,"" concluding that, based on the best science, global warming pollution presents a clear threat to public health and welfare. The endangerment finding was the scientific determination necessary to allow the agency to start limiting global warming pollution under the Clean Air Act.","Climate Change, Air"
Cutting Oil Subsidies,"The oil and gas industry receives billions of dollars of government support each year through loopholes in the tax code and royalty-free lease agreements. These subsidies dwarf the incentives that are currently available for renewable energy and energy efficiency and distort the market in favor of this mature industry that is a major source of global warming and other toxic pollutants. President Obama called for the elimination of many of these subsidies in his budgets for fiscal years 2010 and 2011 and agreed to eliminate these subsidies in a pledge made with other world leaders at a Group of 20 Summit in 2009. Congress, however, has not taken the steps necessary to end these subsidies.","Drilling, Clean Energy, Dirty Energy"
Biodiesel Tax Credit,"A tax credit for biodiesel was created in 2004 as part of the JOBS Act, which provided $1.00 to the fuel blenders for each gallon of biodiesel blended into petroleum diesel. The credit expired at the end of 2009. Since the creation of this tax credit, the environmental benefit of biodiesel has been called into question as expanded soybean and other biodiesel feedstock production has contributed to the destruction of natural ecosystems and increased agricultural inputs. The credit is considered a driver of biodiesel production in the United States, resulting in environmental damage worldwide. For example, biodiesel produced from soybeans in the United States results in a significant amount of land use change internationally, and expanded soybean production is a primary factor in the deforestation of the Amazon Rainforest.","Dirty Energy, Lands/Forests"
Funding Renewable Energy,"Federal investment in renewable energy and energy efficiency is essential to support these burgeoning industries as our country transitions away from fossil fuels towards a new energy future. Clean energy and energy efficiency received significant support in the economic recovery package of 2009, which boosted these critical industries at a time of economic crisis. Unfortunately, the 111th Congress failed to enact additional policies that would further unleash the job-creation potential of these industries, either in the form of a comprehensive clean energy and global warming bill or a federal Renewable Electricity Standard. However, as the Congress drew to a close, senators were presented with a unique opportunity to invest in these industries.",Clean Energy
Public Lands Protection,"The Omnibus Public Land Management Act, considered one of the most important public land conservation measures in decades, designated more than 2 million acres of public lands as wilderness in nine states and established three new national park units, a new national monument, three new national conservation areas, more than 1,000 miles of national wild and scenic rivers and four new national trails. The Act enlarged the boundaries of more than a dozen existing national park units and established ten new national heritage areas. It also formally established the National Landscape Conservation System, containing millions of acres of wilderness, monuments, and conservation areas that are managed by the Bureau of Land Management.","Lands/Forests, Water, Wildlife"
Population,"By allowing women to plan the size of their families, voluntary family-planning programs also help conserve natural resources in areas where expanding human numbers threaten biodiversity and endangered species and help to reduce human vulnerability to the effects of climate change. Since the mid-1990s, family-planning opponents have cut U.S. funding for these programs by arguing, in part, that the money funds abortion. In fact, the use of U.S. foreign assistance to fund abortion has been prohibited since 1973.",Other
Clean Energy Recovery,"The Obama administration and Congress quickly took steps to address the nation's economic crisis early in 2009. As job losses mounted, numerous proposals circulated as to how best to stimulate the economy, repositioning the United States for sustainable economic growth. Investing in clean energy research, development and deployment can solidify America's status as an economic power while creating jobs, improving our national security and protecting the planet.","Clean Energy, Transportation"
Polar Bear Protections and Global Warming,"The FY 2009 Omnibus appropriations bill (H.R. 1105), included a provision, Section 429, that would allow the Obama administration to quickly withdraw two damaging regulations proposed near the end of the Bush administration that would weaken implementation of the Endangered Species Act and harm the imperiled polar bear. Neither of these rules underwent sufficient public process or opportunity for comment.","Wildlife, Climate Change"
Budget,"When the President's annual budget is submitted, typically in February, Congress begins to develop its own budget plan that reflects its spending priorities. The federal budget resolution sets funding levels for the next fiscal year and sets forth budget totals for the next five years.",Other
Water Resources,"The Bay-Delta Estuary is the largest estuary on the West Coast. It is an ecosystem that supports an important array of species including listed salmon, steelhead, sturgeon, and smelt populations. In recent years, the Delta ecosystem has been on the verge of collapse. Water diversions from the Delta have depressed salmon numbers and resulted in the closure of the salmon fishery for the last two years. This has caused an economic disaster along hundreds of miles of the Pacific Coast, with estimated losses in California of $2.8 billion and 23,000 jobs in the commercial and recreational fishing industries in 2008 and 2009.","Water, Oceans, Wildlife"
Offshore Drilling,"By renewing each year a Congressional moratorium on new drilling in the Outer Continental Shelf (OCS), Congress had protected for more than 25 years our sensitive coastal waters of the Atlantic, Pacific and eastern Gulf of Mexico from offshore oil and gas exploration and development. That moratorium expired in 2008, and the Bush Administration issued a new five-year plan to govern leasing and development in these areas. When President Obama took office in 2009, Secretary Salazar issued a ""time out"" on new drilling and suspended the Bush OCS program to allow the new administration to evaluate future options for offshore energy development.","Drilling, Dirty Energy"
Defunding Environmental and Energy Staff,"Given the urgent need to bring about a new energy future and reduce global warming pollution, President Obama created the position of Assistant to the President for Energy and Climate Change. The President has directed her to coordinate the work of multiple Cabinet level agencies on climate change and the creation of clean energy and clean energy jobs that are essential for long-term economic growth. Her power and influence relies primarily on persuasion and in communicating to the federal agencies decisions of the President.","Climate Change, Clean Energy"
Land and Water Conservation Fund,"The Land and Water Conservation Fund is used by land management agencies to protect recreational access, natural resources and cultural heritage sites.","Lands/Forests, Water"
Environmental Funding,"The Interior-Environment appropriations bill allocates yearly funding for many federal environment and natural resource programs that protect our public lands, wildlife, air, and water, and safeguard communities from toxic pollution. In addition, as the nation increasingly grapples with the need to address climate change and its impacts, the Interior-Environment appropriations bill has become an important vehicle for making advances on this critical front.",Other
National Security and Climate Change,"Defense experts have begun to focus on the national security implications of climate change. In 2008, the National Intelligence Council, which produces government-wide intelligence analyses, finished the first assessment of the national security implications of climate change. It concluded that climate change by itself would have significant geopolitical impacts around the world and would contribute to a host of problems, including poverty, environmental degradation and the weakening of national governments.",Climate Change
Public Lands Protection,"The Consolidated Natural Resources Act of 2008 (S. 2739) brought together 62 individual bills concerning lands and activities in over 30 states and the District of Columbia. The omnibus bill included a measure to designate the 106,000 acre Wild Sky Wilderness in Washington State to the National Wilderness Preservation System, added the Eightmile River in Connecticut to the Wild and Scenic River System, and authorized new protections for historic sites, national parks, and precious water resources.","Lands/Forests, Water, Wildlife"
Wind Insurance,"With global warming contributing to the severity of hurricanes, sea level rise, and flooding, it's becoming increasingly imperative to discourage new development and rebuilding in environmentally sensitive shorelines, wetlands, lowlands, and barrier islands. Unfortunately, the availability of federally subsidized flood insurance through the National Flood Insurance Program (NFIP) often encourages risky development in flood-prone areas, putting people and communities in harm's way. Following the catastrophic and unprecedented 2004 and 2005 hurricane seasons, the U.S. Treasury debt of the NFIP grew to more than $17 billion, with annual interest exceeding three quarters of a billion dollars. With the program set to expire at the end of FY 2008, Congress began working to reform and extend the program another five years.","Climate Change, Lands/Forests, Other"
Arctic Refuge and Offshore Drilling,"During consideration of S. 2284, the National Flood Insurance Reform and Modernization Act, Senator Mitch McConnell (R-KY) offered an amendment that would have opened the coastal plain of the Arctic National Wildlife Refuge to oil drilling, allowed oil and gas development in offshore coastal waters that have been protected by a federal moratorium since 1981, encouraged the use of high greenhouse gas intensive liquid coal technology, and promoted environmentally destructive oil shale mining on public lands.","Drilling, Dirty Energy"
Offshore Drilling,"In 1981, Congress acted to protect America's shores, beaches, and marine ecosystems by adopting a moratorium on oil and gas development in coastal waters. Congress has continued this protection every year since then.","Drilling, Dirty Energy"
Environmental Funding,"The Congressional budget process begins once the President's annual budget is submitted in February. At that time, Congress begins to develop its own budget plan that reflects its spending priorities. The federal budget resolution sets funding levels for the next fiscal year and sets forth budget totals for the next five years.",Other
Global Warming,"Today, America faces the unprecedented challenges of confronting global warming as well as solving the current energy crisis. Both problems require a rapid transformation of our energy future to greater energy efficiency and clean, renewable energy. Scientists warn that we only have a brief window to act in order to stave off the worst impacts of global warming, such as increases in hurricane intensity, forest fire frequency, and intense rain storms. Global warming is endangering water supplies, public health, agriculture, infrastructure, our natural environment, and threatens to reduce the world's economic output by up to 20 percent if left unchecked.",Climate Change
Energy Prices: Environmental and Consumer Protection,"On June 10, during the heated debate over rising energy prices, Senator Harry Reid (D-NV) tried to bring his bill, S. 3044, the Consumer First Energy Act, to the Senate floor for debate. He proposed a package that attempted to reverse the harm imposed by eight years of Bush Administration pro-oil policies by attacking the root causes of high energy prices, providing price relief to American consumers, and supporting investment in clean energy technologies.","Drilling, Dirty Energy, Clean Energy"
Clean Energy Tax Credits,"A broad coalition of businesses, construction companies, environmental organizations, investors, labor groups, trade associations and utilities agree that the single most effective measure to increase the use of clean renewable energy and energy efficiency is to extend and expand the present set of clean energy tax credits that are due to expire at the end of 2008. Energy experts maintain that extending the credits could save as many as 117,000 existing jobs and generate an additional $19 billion in domestic clean energy investment.",Clean Energy
Low-Income Energy Assistance,"As energy prices continue to skyrocket, residential customers will likely bear a record burden this winter. Increasing costs will particularly impact low-income families as they struggle to balance their heating needs with those of food, shelter, and other basic necessities.",Clean Energy
Clean Energy Tax Credits,"A broad coalition of businesses, construction companies, environmental organizations, investors, labor groups, trade associations and utilities agree that the single most effective measure to increase the use of clean renewable energy and energy efficiency is to extend and expand the present set of clean energy tax credits that are due to expire at the end of 2008. Energy experts maintain that extending the credits could save as many as 117,000 existing jobs and generate an additional $19 billion in domestic clean energy investment.",Clean Energy
Oil Shale,"In recent years, oil companies have pressured government agencies to open up 1.9 million acres in Colorado, Utah, and Wyoming to develop oil shale. Development of oil shale requires huge amounts of energy and water resources, a process that produces global warming emissions that far surpass those of conventional fossil fuels. Additionally, the viability of oil shale as an energy source and its further environmental impacts are uncertain.","Dirty Energy, Clean Energy, Lands/Forests"
Water Resources -- Project Prioritization,"The U.S. Army Corps of Engineers currently has a backlog of more than $58 billion in previously authorized water projects--and an annual average appropriation of only $2 billion for completing them. Reformers have argued for creating an independent commission that could assess and prioritize these projects and direct funding away from ""pork barrel"" projects toward projects of real value and importance.",Water
Water Resources -- Global Warming,"The damage wrought by Hurricane Katrina has underscored how important it is to incorporate global warming and sea-level rise into the planning of water resources projects. During the consideration of H.R. 1495, the Water Resources Development Act reauthorization bill, Senators John Kerry (D-MA), Russ Feingold (D-WI), Susan Collins (R-ME), and others offered an amendment requiring the U.S. Army Corps of Engineers to consider the long and short-term effects of global climate change and to use the best available modern climate science in planning water projects.","Climate Change, Water"
Oil Refineries,"In the name of promoting ""domestic security,"" Senator James Inhofe (R-OK) offered an amendment to H.R. 6, the energy bill, that would have allowed the elimination of current public health and environmental permitting procedures for new or expanded oil refineries, coal-to-liquid refineries, and ethanol or bio-diesel plants.","Dirty Energy, Air"
Undermining Renewable Electricity,"By reducing our reliance on expensive and polluting power plants, renewable energy sources also generate consumer savings, new jobs, and economic investments in rural communities. Twenty-five states and the District of Columbia have now adopted a renewable electricity standard, which requires utilities to produce a certain percentage of their electricity from renewable energy sources.","Dirty Energy, Clean Energy"
Virginia Offshore Drilling,"In 1981, Congress acted to protect America's shores, beaches, and marine ecosystems by adopting a moratorium on oil and gas development in coastal waters. Since then, Congress has annually reaffirmed that moratorium.","Drilling, Dirty Energy"
Liquid Coal,"Liquid coal produces almost twice as much global warming pollution as conventional gasoline. Moreover, the large-scale deployment of liquid coal would exacerbate the impacts of coal mining on many communities and ecosystems, including polluted air and water and devastated landscapes.","Dirty Energy, Climate Change"
Biofuels,"Biofuels like ethanol can be important tools for reducing global warming, decreasing our dependence on oil, and revitalizing rural economies. Without adequate safeguards, however, biofuels production can deplete forests and critical wildlife habitat and pollute water supplies.","Dirty Energy, Lands/Forests"
"Energy Legislation: Fuel Efficiency and Clean, Renewable Energy","America's growing dependence on oil and the threat of global climate change require a new energy policy that raises fuel economy standards, boosts production of clean, renewable energy sources, increases energy efficiency, and develops the next generation of technology. The Senate took the first step toward this goal by passing comprehensive energy legislation (H.R. 6).","Clean Energy, Transportation, Climate Change"
"Energy Legislation: Fuel Efficiency and Clean, Renewable Energy","America's growing dependence on oil and the threat of global climate change require a new energy policy that raises fuel economy standards, boosts production of clean, renewable energy sources, increases energy efficiency, and develops the next generation of technology. The Senate took the first step toward this goal by passing comprehensive energy legislation (H.R. 6).","Clean Energy, Transportation, Climate Change"
Population,"By allowing women to plan the size of their families, voluntary family planning programs also help conserve natural resources in areas where expanding human numbers threaten biodiversity and endangered species. Since the mid-1990s, family planning opponents have cut U.S. funding for these programs by arguing, in part, that the money funds abortion. In fact, the use of U.S. foreign assistance to fund abortion has been prohibited since 1973.",Other
"Energy Legislation: Fuel Efficiency and Clean, Renewable Energy","America's growing dependence on oil and the threat of global climate change require a new energy policy that raises fuel economy standards, boosts production of clean, renewable energy sources, increases energy efficiency, and develops the next generation of technology. The Senate took the first step toward this goal by passing comprehensive energy legislation (H.R. 6).","Clean Energy, Transportation, Climate Change"
Farm Bill -- Subsidy Reform,"Because farmers, ranchers and private forest landowners control over half of the U.S. landscape, they have a significant impact on our air and water quality and wildlife habitat. Unfortunately, traditional farm subsidies, which soak up over half of all farm spending, encourage overproduction on environmentally sensitive lands. And roughly two out of three landowners who want to enlist in voluntary conservation programs are turned away because of insufficient program funds.",Lands/Forests
Farm Bill -- Subsidy Caps,"With nearly 40 percent of our country's threatened or endangered wildlife found only on private lands, the management of those lands by farmers, ranchers, and foresters will determine the future of many of these species. The voluntary conservation programs funded through the five-year farm bill are critical to these efforts. Yet, because of chronic underfunding, these programs have to turn away most of the farmers who want to enroll in them.",Lands/Forests
"Energy Legislation: Fuel Efficiency and Clean, Renewable Energy","America's growing dependence on oil and the threat of global climate change require a new energy policy that raises fuel economy standards, boosts production of clean, renewable energy sources, increases energy efficiency, and develops the next generation of technology. The Senate took the first step toward this goal by passing comprehensive energy legislation (H.R. 6).","Clean Energy, Transportation"
Eminent Domain,"Traditionally, state and local governments have used eminent domain to acquire land for parks and other public areas--a practice that has long been approved by the courts. In 1896, for instance, the Supreme Court unanimously endorsed condemning land in order to create Gettysburg National Battlefield Park.","Lands/Forests, Other"
Low-Income Energy Assistance,"Over the coming winter, residential customers are expected to pay 43 percent more for natural gas than they did the previous winter. This will be a particular blow for low-income families as they struggle to balance their energy needs with food, shelter, and other basic concerns.",Clean Energy
Environmental Funding,"Robust funding for environment and natural resources stewardship is critical to keeping air and water clean, protecting public lands, and safeguarding fish and wildlife. Unfortunately, the fiscal year 2007 budgets proposed by the Bush administration and endorsed by congressional leaders made substantial cuts to environmental programs.",Other
